종목코드,종목명,종가,대비,등락률,상장시가총액
"002380","KCC","313500","12000","3.98","2785909.0"
"006280","녹십자","229000","1000","0.44","2676217.0"
"039490","키움증권","105500","2000","1.93","2766159.0"
"088350","한화생명","2965","5","0.17","2575191.0"
"112610","씨에스윈드","59200","1200","2.07","2496547.0"
"282330","BGF리테일","151000","500","0.33","2609870.0"
"285130","SK케미칼","144500","2000","1.40","2546203.0"
"298020","효성티앤씨","597000","28000","4.92","2583626.0"
"023530","롯데쇼핑","88900","-400","-0.45","2514870.0"
"030000","제일기획","22250","650","3.01","2559667.0"
"042660","대우조선해양","24200","0","0.00","2596434.0"
"047040","대우건설","5880","60","1.03","2443861.0"
"047050","포스코인터내셔널","20400","250","1.24","2516853.0"
"001040","CJ","83400","1100","1.34","2433362.0"
"375500","DL이앤씨","121000","1500","1.26","2342407.0"
"012510","더존비즈온","79300","1600","2.06","2409355.0"
"004170","신세계","241000","6500","2.77","2372689.0"
"000880","한화","31750","300","0.95","2379940.0"
"064350","현대로템","20600","500","2.49","2248331.0"
"081660","휠라홀딩스","35700","-50","-0.14","2168854.0"
"093370","후성","23050","400","1.77","2134587.0"
"120110","코오롱인더","77600","2300","3.05","2135481.0"
"011210","현대위아","75500","800","1.07","2053229.0"
"009240","한샘","90400","2500","2.84","2127467.0"
"000080","하이트진로","30600","1050","3.55","2146088.0"
"001450","현대해상","24200","400","1.68","2163480.0"
"004000","롯데정밀화학","78900","2200","2.87","2035620.0"
"004800","효성","100000","5100","5.37","2107103.0"
"012450","한화에어로스페이스","43250","0","0.00","2189748.0"
"271940","일진하이솔루스","53200","1600","3.10","1931862.0"
"019170","신풍제약","34900","200","0.58","1849176.0"
"003090","대웅","31750","250","0.79","1846008.0"
"051600","한전KPS","39950","950","2.44","1797750.0"
"042700","한미반도체","36750","250","0.68","1817650.0"
"069620","대웅제약","142500","4000","2.89","1651087.0"
"069960","현대백화점","72600","1400","1.97","1699017.0"
"111770","영원무역","40500","750","1.89","1794614.0"
"139130","DGB금융지주","9530","250","2.69","1611960.0"
"175330","JB금융지주","8540","390","4.79","1682234.0"
"181710","NHN","89900","3000","3.45","1758896.0"
"007310","오뚜기","452000","-1500","-0.33","1659735.0"
"017800","현대엘리베이","41700","800","1.96","1701993.0"
"000150","두산","108500","-1500","-1.36","1792836.0"
"001440","대한전선","1865","45","2.47","1597322.0"
"004370","농심","286000","0","0.00","1739636.0"
"006260","LS","52700","800","1.54","1696940.0"
"010120","LS ELECTRIC","54200","200","0.37","1626000.0"
"294870","HDC현대산업개발","23100","300","1.32","1522459.0"
"300720","한일시멘트","21000","900","4.48","1454492.0"
"381970","케이카","32350","-1000","-3.00","1555599.0"
"014820","동원시스템즈","51500","800","1.58","1503203.0"
"020560","아시아나항공","19350","200","1.04","1439868.0"
"009900","명신산업","27800","-350","-1.24","1458670.0"
"000240","한국앤컴퍼니","16400","250","1.55","1556938.0"
"001230","동국제강","15650","150","0.97","1493522.0"
"005850","에스엘","32200","1100","3.54","1552146.0"
"007700","F&F홀딩스","36500","2000","5.80","1427674.0"
"330590","롯데리츠","5650","60","1.07","1372774.0"
"073240","금호타이어","4325","175","4.22","1242401.0"
"006650","대한유화","193500","1000","0.52","1257750.0"
"089860","롯데렌탈","37350","550","1.49","1368282.0"
